season;federation;points
2014-2015;NED;8.195
2014-2015;GRE;6.38
2014-2015;TUR;6.52
2014-2015;BEL;7.44
2014-2015;AUT;5.135
2014-2015;CZE;5.825
2014-2015;DEN;3.96
2014-2015;ROU;5.259
2014-2015;SCO;3.58
2014-2015;CYP;4.46
2014-2015;BLR;4.15
2014-2015;BUL;3.35
2014-2015;POL;4.3
2014-2015;CRO;4.7
2014-2015;SVN;2.725
2014-2015;ISR;4.2
2014-2015;SRB;2.775
2014-2015;MDA;2.0
2014-2015;SWE;3.545
2014-2015;NOR;2.875
2014-2015;AZE;2.5
2014-2015;FIN;1.64
2014-2015;SVK;2.25
2014-2015;KAZ;2.075
2014-2015;HUN;2.2
2014-2015;GEO;1.875
2014-2015;LTU;0.9
2014-2015;ISL;1.6
2014-2015;BIH;1.5
2014-2015;ALB;1.075
2014-2015;WAL;0.575
2014-2015;LVA;0.85
2014-2015;IRL;1.15
2014-2015;LUX;1.025
2014-2015;NIR;0.975
2014-2015;MLT;0.841
2014-2015;MKD;1.175
2014-2015;EST;0.7
2014-2015;FRO;0.7
2014-2015;MNE;1.125
2014-2015;ARM;0.55
2014-2015;LIE;1.2
2014-2015;AND;0.166
2014-2015;SMR;0.099
2014-2015;GIB;0.05
2015-2016;ESP;21.142
2015-2016;GER;16.035
2015-2016;ENG;15.256
2015-2016;POR;10.616
2015-2016;FRA;10.549
2015-2016;ITA;14.087
2015-2016;RUS;10.216
2015-2016;SUI;6.755
2015-2016;UKR;8.976
2015-2016;GRE;5.94
2015-2016;NED;7.112
2015-2016;TUR;6.92
2015-2016;BEL;8.0
2015-2016;CZE;6.585
2015-2016;AUT;5.02
2015-2016;SCO;3.46
2015-2016;ROU;5.076
2015-2016;CYP;4.435
2015-2016;BLR;4.0
2015-2016;POL;4.5
2015-2016;CRO;4.775
2015-2016;BUL;2.625
2015-2016;DEN;3.72
2015-2016;SVN;2.625
2015-2016;NOR;3.85
2015-2016;ISR;3.725
2015-2016;SWE;3.975
2015-2016;SRB;2.925
2015-2016;AZE;2.975
2015-2016;KAZ;2.825
2015-2016;FIN;1.48
2017-2018;AND;0.266
2017-2018;GIB;0.6
2017-2018;ARM;0.975
2017-2018;SMR;0.099
2017-2018;KOS;0.0
2018-2019;ESP;20.713
2018-2019;GER;14.385
2018-2019;ITA;14.945
2018-2019;ENG;17.092
2018-2019;FRA;11.699
2018-2019;POR;9.646
2018-2019;UKR;7.78
2018-2019;RUS;10.109
2018-2019;NED;6.486
2018-2019;TUR;6.92
2018-2019;AUT;6.25
2018-2019;SUI;5.38
2018-2019;BEL;7.98
2018-2019;GRE;5.52
2018-2019;CZE;5.735
2018-2019;SCO;4.425
2018-2019;DEN;5.405
2018-2019;CRO;5.475
2018-2019;BLR;4.375
2018-2019;KAZ;3.85
2018-2019;BUL;3.5
2018-2019;CYP;4.985
2018-2019;POL;3.85
2018-2019;ROU;3.19
2018-2019;AZE;3.8
2018-2019;SWE;4.18
2018-2019;SVN;3.0
2018-2019;SRB;4.45
2018-2019;ISR;3.725
2018-2019;NOR;4.04
2018-2019;MDA;1.55
2018-2019;HUN;2.1
2018-2019;FIN;1.455
2018-2019;SVK;3.125
2018-2019;IRL;1.49
2018-2019;ALB;1.5
2018-2019;LUX;1.1
2018-2019;MKD;1.6
2018-2019;WAL;0.825
2018-2019;LTU;1.35
2018-2019;ISL;1.45
2018-2019;BIH;1.425
2018-2019;ARM;1.05
2018-2019;MLT;1.025
2018-2019;NIR;0.775
2018-2019;GIB;0.8
2018-2019;LVA;1.125
2018-2019;SRB;3.25
